Country Name,Country Code,Series Name,Series Code,1980 [YR1980],2000 [YR2000],2010 [YR2010],2022 [YR2022]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,291.649791044155,..,554.59473461788,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,1126.68334010717,4094.34969883571,6802.80451885113
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2259.72436706497,1780.37607069151,4495.92145548343,4273.92218311515
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,10446.8632062572,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,12534.8227080896,21620.4684882246,48237.8911734423,41992.7933583772
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,711.941169235015,556.88424373456,3496.78479608032,2998.50115810921
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2025.47468240637,11010.1974601342,13404.5160161036,18745.1735087796
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2746.20748417286,7666.51783423783,10385.9644319555,13686.0086737317
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,603.298025247115,3143.02948216523,7014.20659172274
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,..,21023.1575127316,24452.9283634427,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,10208.5761716721,21853.4499933573,52132.469607935,64491.4298860631
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,10869.5464940526,24625.6007227434,46903.7615854354,52131.4466586387
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,..,655.097432602586,5843.5337683582,7736.70123206975
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,5967.76788587365,24849.6064784902,27046.6576651879,31458.300811739
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,8474.18836020654,12738.7741181575,21186.8143292279,30152.0346838601
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,216.109852036488,413.100185264402,776.859576940281,2688.30395035828
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,3992.03633847153,11560.2459031879,16489.7958217909,20018.5151513054
