Country Name,Country Code,Series Name,Series Code,1980 [YR1980],2000 [YR2000],2010 [YR2010],2022 [YR2022]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,3641723321.99546,..,15633843661.8051,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,..,3480355258.04122,11926926654.0521,18882095517.8768
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,42345829090.2411,54790398813.0005,161207306304.794,191912889420.911
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,..,..,573000000,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,446377571.45778,1429048105.66618,3449925738.83342,3352032737.0391
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,5930503400.96263,9129594818.60749,81699526880.8079,106713618735.434
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,131431026.666667,826370370.37037,1148700000,1757603703.7037
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,76961923741.0701,284203750000,423627422092.49,632770284408.51
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,..,1911563668.85006,9260285762.09704,19502783987.8807
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,..,1873184357.5419,2453631284.9162,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,149984401114.206,415844972940.496,1148569537284.62,1675418665067.09
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,82058912997.2346,197289625479.906,392275107258.677,471400066091.247
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,..,5272617196.04517,52909294791.9262,78721058823.5294
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1335300000,8076470000,10095760000,12897400000
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,3072698328.46909,9062898936.17021,25713271276.5957,44390820478.7234
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,18138049095.6072,53369787318.6245,115279077465.226,460201000095.101
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1012280614.52792,3059500000,4529928300,5637914514.6379
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,..,12736856827.9847,57231904542.8755,72793457588.4367
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,126829314388.191,236792460312.471,481420882905.012,578604103123.349
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,197938222.43,1116000000,1738500000,2824081836.19867
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1405251843.78221,3519991440.32367,9535345011.48728,17401746309.266
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,613299968,3480219000,6634526000,7550500000
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,128669205.781592,424448931.007248,1547990907.46305,..
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,4537487802.50257,8397855937.46841,19649724655.5819,43068885672.9378
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,..,5567774049.09534,17176320823.1892,24527507287.7962
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1060889705.11871,5788329609.15755,12637273429.1339,20352322157.1467
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,237393489892.637,655448188246.11,2208838108593.19,1920095560995.06
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,4928805777.2815,6001280943.71691,13707275498.0569,16681531645.7347
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,19839230769.2308,13245990274.4581,50754203890.7341,89040398406.3745
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1928719884.42114,2968370087.46649,10109619736.1442,18884619613.4388
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,919726666.666667,870486065.883137,2032135191.46211,3073414677.84385
