Country Name,Country Code,Series Name,Series Code,1980 [YR1980],2000 [YR2000],2010 [YR2010],2022 [YR2022]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,14.3624414692681,..
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,6.94621659244254,3.70693815255319,4.84423589539303
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.790606971851602,3.79999999969765,3.60000000003535,3.09999999986282
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,0.299850074962521,..
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.20872761127492,3.52836236122388,-1.97495799965345,8.80957934841771
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,3.05462423430785,4.398375937818,3.04540300954928
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.1614307966301,6.20343125361191,-7.84059474412172,8.45873332502183
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.51878394990179,-0.78899893905691,10.1253981561002,5.2430444992488
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,5.90000000312092,2.2000000002151,12.6
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,7.61658911307723,-2.73259596616786,..
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.03558879840024,3.90117137135968,2.20656631017093,3.61758857230203
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.73148559549917,3.37572214708479,1.83709367680054,4.99694240688582
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,11.0999991434346,5.04894451349574,4.61652296344128
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.49528192102287,4.14923404577333,1.53838597180584,14.3689600281884
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,5.30007005600883,4.33429917283131,4.86085827172992
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.819141868898924,5.29329471892532,5.57178818849806,7.09982877575158
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.37306481383659,4.44718962322422,-2.36516470308347,9.99899532827648
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,5.80000344007452,7.79826682269751,-4.6974497069539
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.44405387639348,3.71667938420875,2.86429270764155,3.24783720657268
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13.4366817639712,13.0057803468208,1.25634856990109,12.128745257098
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.78176386785228,5.85771420543269,2.11406472648392,6.25324491401346
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.94392523272795,9.31715641086083,-2.50287828947368,2.92711294908246
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,3.35506828474021,11.9458959983757,..
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.37177291054002,2.50781080899483,4.1267225910567,3.07005464392225
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,12.7654694578883,0.865669260237084,3.89680774245646
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,11.9869013857775,1.98769583378552,10.1222091179732,5.78234922056089
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.19999999999976,4.38794944745618,7.52822581815364,2.90053061522693
British Virgin Islands,VGB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-6.99670298402471,2.84942185782727,2.59896574643226,-1.62833154022366
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,4.58722534164882,1.54180144307578,3.36125275175223
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.796878878579221,1.88847388906525,8.44628157707625,1.47930064027761
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.991055725106477,-0.856864058424151,5.12415999439806,1.84899999899326
Cabo Verde,CPV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,14.2848688321225,1.83641914989978,17.7141811686959
Cambodia,KHM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,9.9935803216182,5.96307857538696,5.16245999997302
Cameroon,CMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.9652916680455,3.83241779532237,2.89902472402312,3.54097786320744
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,5.17763566824114,3.08991946152595,3.39620227946682
Cayman Islands,CYM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,-2.71563682344265,..
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.47863884794948,-2.48943244028874,4.63081843223307,0
Chad,TCD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-6.04767074733006,-0.879681025444839,13.5501008595489,2.23597967466216
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.986620757061,4.9716214882971,5.85165102224047,2.44040339833805
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.83414501593799,8.49009340575191,10.6358710646812,2.9908045977096
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.08735367550767,2.92486148314592,4.49465897070922,7.49577578140568
Comoros,COM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,10.847878616072,3.77776674982255,2.38767848524202
"Congo, Dem. Rep.",COD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.19491292367728,-6.91092731652101,7.10797657581392,8.92444785079518
"Congo, Rep.",COG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,17.6366054827611,7.5759803952642,9.93126543095578,1.54795289692822
Costa Rica,CRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.751895403326316,3.86871808818643,5.36034347985841,4.30501579784834
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-10.9576972637217,-0.265789463943307,6.84804940059942,6.74133000220331
Croatia,HRV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,2.95879821960648,-1.22377948197983,6.33133629634182
Cuba,CUB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.84944295088555,5.9147601740486,2.39035229650723,..
Curacao,CUW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,0.0823066088131412,..
