Country Name,Country Code,Series Name,Series Code,1980 [YR1980],2000 [YR2000],2010 [YR2010],2022 [YR2022]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,12486631,19542982,28189672,41128771
Albania,ALB,"Population, total",SP.POP.TOTL,2671997,3089027,2913021,2775634
Algeria,DZA,"Population, total",SP.POP.TOTL,18739378,30774621,35856344,44903225
American Samoa,ASM,"Population, total",SP.POP.TOTL,32886,58230,54849,44273
Andorra,AND,"Population, total",SP.POP.TOTL,35611,66097,71519,79824
Angola,AGO,"Population, total",SP.POP.TOTL,8330047,16394062,23364185,35588987
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,64889,75055,85695,93763
Argentina,ARG,"Population, total",SP.POP.TOTL,28024803,37070774,40788453,46234830
Armenia,ARM,"Population, total",SP.POP.TOTL,3135123,3168523,2946293,2780469
Aruba,ABW,"Population, total",SP.POP.TOTL,62267,89101,100341,106445
Australia,AUS,"Population, total",SP.POP.TOTL,14692000,19028802,22031750,25978935
Austria,AUT,"Population, total",SP.POP.TOTL,7549433,8011566,8363404,9042528
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,6160500,8048600,9054332,10175016
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,223752,325014,373272,409984
Bahrain,BHR,"Population, total",SP.POP.TOTL,362595,711442,1213645,1472233
Bangladesh,BGD,"Population, total",SP.POP.TOTL,83929765,129193327,148391139,171186372
Barbados,BRB,"Population, total",SP.POP.TOTL,253575,264657,274711,281635
Belarus,BLR,"Population, total",SP.POP.TOTL,9643000,9979610,9483836,9208701
Belgium,BEL,"Population, total",SP.POP.TOTL,9859242,10251250,10895586,11669446
Belize,BLZ,"Population, total",SP.POP.TOTL,145133,240406,322106,405272
Benin,BEN,"Population, total",SP.POP.TOTL,3833939,6998023,9445710,13352864
Bermuda,BMU,"Population, total",SP.POP.TOTL,54670,61833,65124,63532
Bhutan,BTN,"Population, total",SP.POP.TOTL,415257,587207,705516,782455
Bolivia,BOL,"Population, total",SP.POP.TOTL,5736088,8592656,10223270,12224110
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,4199820,4179350,3811088,3233526
Botswana,BWA,"Population, total",SP.POP.TOTL,938578,1726985,2091664,2630296
Brazil,BRA,"Population, total",SP.POP.TOTL,122288383,175873720,196353492,215313498
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,11109,20104,27556,31305
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,187921,333926,396053,449002
Bulgaria,BGR,"Population, total",SP.POP.TOTL,8861535,8170172,7395599,6465097
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,6932967,11882888,16116845,22673762
Burundi,BDI,"Population, total",SP.POP.TOTL,4312834,6307659,9126605,12889576
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,317234,458251,521212,593149
